Id,Name,Description
1,Laptop,"High-performance laptop with 16GB RAM and 512GB SSD"
2,T-Shirt,"Cotton t-shirt, available in multiple colors"
3,Programming Book,"Learn C# programming with practical examples"
4,Smartphone,"Latest smartphone with 6.7-inch display and 5G connectivity"
5,Tablette,"Tablette 10 pouces avec écran haute résolution et autonomie longue durée"
6,Auriculares Inalámbricos,"Auriculares Bluetooth con cancelación de ruido y 24 horas de batería"
7,Smartwatch,"Fitness tracking horloge met hartslagmeter en GPS"
8,Console de Jeu,"Console de jeu nouvelle génération avec capacités gaming 4K"
9,Altavoz Bluetooth,"Altavoz portátil con sonido 360 grados y diseño resistente al agua"
10,Digitale Camera,"DSLR camera met 24MP sensor en 4K video opname"
11,Moniteur,"Moniteur 4K 27 pouces avec support HDR"
12,Ratón Inalámbrico,"Ratón inalámbrico ergonómico con botones personalizables"
13,Mechanisch Toetsenbord,"RGB mechanisch toetsenbord met aanpasbare schakelaars"
14,Vaqueros,"Vaqueros clásicos de mezclilla disponibles en varios cortes y lavados"
15,Pull-over,"Pull-over en maille chaude parfait pour les temps froids"
16,Waterproof Jas,"Waterdichte jas met ademende stof"
17,Vestido,"Vestido elegante adecuado para ocasiones formales"
18,Short,"Short confortable pour les activités par temps chaud"
19,Sokken,"Pak van 6 katoenen sokken in verschillende kleuren"
20,Sudadera con Capucha,"Sudadera casual con bolsillo frontal"
21,Maillot de Bain,"Maillot de bain à séchage rapide pour la plage et la piscine"
22,Sjaal,"Zachte geweven sjaal voor extra warmte en stijl"
23,Guantes,"Guantes compatibles con pantalla táctil para uso en invierno"
24,Programmeren in Python,"Leer Python programmeren met praktische voorbeelden en oefeningen"
25,JavaScript para Principiantes,"Guía completa de JavaScript para desarrollo web moderno"
26,Programmation Java,"Maîtrisez la programmation Java avec des exemples concrets"
27,C# Programming Guide,"Comprehensive guide to C# programming with practical examples"
28,React Development,"Ontwikkel moderne web applicaties met React en Redux"
29,Desarrollo con Angular,"Construye aplicaciones web robustas con Angular y TypeScript"
30,Développement Web avec Vue.js,"Créez des applications web interactives avec Vue.js et Vuex"
31,Database Design,"Leer database ontwerp en SQL optimalisatie technieken"
32,Algoritmos y Estructuras de Datos,"Fundamentos de algoritmos y estructuras de datos en programación"
33,Machine Learning en Python,"Introduction au machine learning avec Python et scikit-learn"
34,Cafetera,"Cafetera programable con jarra térmica"
35,Mixeur,"Mixeur haute puissance pour smoothies et transformation alimentaire"
36,Broodrooster,"4-slice broodrooster met meerdere bruiningsinstellingen"
37,Horno Microondas,"Microondas de encimera con múltiples funciones de cocción"
38,Service de Couverts,"Service de 24 couverts en acier inoxydable"
39,Kookpot Set,"Anti-aanbak kookpot set met glazen deksels"
40,Cojín Decorativo,"Cojines decorativos para sofá y cama"
41,Parure de Lit,"Parure de lit en coton doux avec housse de couette et taies d'oreiller"
